"Cursed	files/NotreDame_De_Paris.txt : 1; 
"Cut	files/Miserables.txt : 3; 
"Daedalus	files/NotreDame_De_Paris.txt : 1; 
"Dame	files/Miserables.txt : 1; 
"Damnation	files/NotreDame_De_Paris.txt : 2; 
"Daughter	files/NotreDame_De_Paris.txt : 1; 
"De	files/Miserables.txt : 2; 
"Dead	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 3; 
"Deaf	files/NotreDame_De_Paris.txt : 1; 
"Dear	files/Miserables.txt : 2; 
"Death	files/Miserables.txt : 2; files/NotreDame_De_Paris.txt : 3; 
"Decamp	files/Miserables.txt : 2; 
"Decidedly	files/Miserables.txt : 3; 
"Defects	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Desaugiers	files/Miserables.txt : 1; 
"Descend	files/NotreDame_De_Paris.txt : 1; 
"Despise	files/NotreDame_De_Paris.txt : 1; 
"Deuce	files/NotreDame_De_Paris.txt : 1; 
"Devil	files/NotreDame_De_Paris.txt : 2; 
"Dialogue	files/Miserables.txt : 1; 
"Did	files/Miserables.txt : 11; files/NotreDame_De_Paris.txt : 1; 
"Didascalon"	files/NotreDame_De_Paris.txt : 1; 
"Didn	files/Miserables.txt : 1; 
"Die	files/NotreDame_De_Paris.txt : 2; 
"Dieu	files/Miserables.txt : 1; 
"Diomedes	files/Miserables.txt : 1; 
"Disappeared	files/NotreDame_De_Paris.txt : 1; 
"Dismiss	files/Miserables.txt : 1; 
"Djali	files/NotreDame_De_Paris.txt : 9; 
"Do	files/NotreDame_De_Paris.txt : 32; files/Miserables.txt : 69; 
"Doctor	files/Miserables.txt : 1; 
"Does	files/Miserables.txt : 13; 
"Domino	files/Miserables.txt : 1; 
"Don	files/Miserables.txt : 29; files/NotreDame_De_Paris.txt : 5; 
"Done	files/Miserables.txt : 1; 
"Dost	files/Miserables.txt : 3; files/NotreDame_De_Paris.txt : 1; 
"Doth	files/NotreDame_De_Paris.txt : 1; 
"Double	files/Miserables.txt : 1; 
"Down	files/Miserables.txt : 9; files/NotreDame_De_Paris.txt : 10; 
"Dramatic	files/Miserables.txt : 1; 
"Draw	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Drink	files/NotreDame_De_Paris.txt : 4; 
"Driver	files/Miserables.txt : 2; 
"Drowned	files/NotreDame_De_Paris.txt : 1; 
"During	files/NotreDame_De_Paris.txt : 1; 
"Each	files/Miserables.txt : 1; 
"Eat	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Eating	files/Miserables.txt : 1; 
"Ecclesiastes	files/Miserables.txt : 1; 
"Echo	files/Miserables.txt : 1; 
"Egad	files/Miserables.txt : 1; 
"Eh	files/Miserables.txt : 4; files/NotreDame_De_Paris.txt : 6; 
"Eheu	files/NotreDame_De_Paris.txt : 1; 
"Eight	files/Miserables.txt : 2; 
"Eighthly	files/Miserables.txt : 1; 
"Eighty	files/Miserables.txt : 1; 
"Elle	files/Miserables.txt : 1; 
"Elsewhere	files/Miserables.txt : 1; 
"Embrace	files/Miserables.txt : 2; 
"Empty	files/Miserables.txt : 1; 
"En	files/Miserables.txt : 2; 
"Enjolras	files/Miserables.txt : 4; 
"Enough	files/NotreDame_De_Paris.txt : 1; 
"Enter	files/NotreDame_De_Paris.txt : 2; files/Miserables.txt : 8; 
"Envy	files/NotreDame_De_Paris.txt : 1; 
"Eponine	files/Miserables.txt : 2; 
"Equally	files/Miserables.txt : 1; 
"Especially	files/Miserables.txt : 1; 
"Et	files/Miserables.txt : 2; files/NotreDame_De_Paris.txt : 1; 
"Etienne	files/NotreDame_De_Paris.txt : 1; 
"Euphrasie	files/Miserables.txt : 1; 
"Eve	files/NotreDame_De_Paris.txt : 3; 
"Even	files/Miserables.txt : 2; 
"Ever	files/Miserables.txt : 1; 
"Every	files/Miserables.txt : 1; 
"Everything	files/Miserables.txt : 6; files/NotreDame_De_Paris.txt : 1; 
"Exactly	files/Miserables.txt : 3; 
"Examine	files/Miserables.txt : 1; 
"Excellent	files/Miserables.txt : 1; 
"Except	files/Miserables.txt : 2; 
"Excrement	files/Miserables.txt : 1; 
"Excuse	files/Miserables.txt : 9; 
"Executioner	files/NotreDame_De_Paris.txt : 1; 
"Expectations	files/Miserables.txt : 1; 
"Expenses	files/Miserables.txt : 1; 
"Explain	files/NotreDame_De_Paris.txt : 1; 
"FANTINE"	files/Miserables.txt : 1; 
"FANTINE	files/Miserables.txt : 1; 
"FATE	files/NotreDame_De_Paris.txt : 1; 
"Fabantou	files/Miserables.txt : 3; 
"Fair	files/NotreDame_De_Paris.txt : 5; 
"Fall	files/NotreDame_De_Paris.txt : 1; 
"False	files/Miserables.txt : 1; 
"Famous	files/Miserables.txt : 1; 
"Fancy	files/NotreDame_De_Paris.txt : 1; 
"Fantine	files/Miserables.txt : 1; 
"Farewell	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Fasten	files/Miserables.txt : 1; 
"Father	files/Miserables.txt : 54; files/NotreDame_De_Paris.txt : 1; 
"Fauchelevent	files/Miserables.txt : 1; 
"Fauchewhat	files/Miserables.txt : 1; 
"Fauvent	files/Miserables.txt : 1; 
"Fear	files/NotreDame_De_Paris.txt : 1; 
"Feel	files/Miserables.txt : 1; 
"Felix	files/Miserables.txt : 1; 
"Fex	files/Miserables.txt : 1; 
"Fichtre	files/Miserables.txt : 1; 
"Fie	files/NotreDame_De_Paris.txt : 2; 
"Fifteen	files/Miserables.txt : 5; 
"Fifthly	files/Miserables.txt : 1; 
"Fifty	files/Miserables.txt : 2; files/NotreDame_De_Paris.txt : 1; 
"Find	files/Miserables.txt : 1; 
"Fine	files/NotreDame_De_Paris.txt : 4; 
"Finish	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 1; 
"Finished	files/Miserables.txt : 1; 
"Fire	files/Miserables.txt : 6; files/NotreDame_De_Paris.txt : 2; 
"Firing	files/Miserables.txt : 1; 
"First	files/Miserables.txt : 1; 
"Five	files/Miserables.txt : 10; 
"Flee	files/Miserables.txt : 1; 
"Fling	files/NotreDame_De_Paris.txt : 1; 
"Flora	files/Miserables.txt : 1; 
"Florentine	files/NotreDame_De_Paris.txt : 1; 
"Fly	files/NotreDame_De_Paris.txt : 1; 
"Fodit	files/Miserables.txt : 1; 
"Foh	files/NotreDame_De_Paris.txt : 1; 
"Follow	files/NotreDame_De_Paris.txt : 2; files/Miserables.txt : 3; 
